date,closing_price,fear_greed_index,pageviews,ITB Sentiment Score,Bitcoin_Normalized,galaxy_score,santiment
2023-03-26,27994.330078125,64.0,7367,-0.4806786050895382,10.847402597402596,42,0.0
2023-03-27,27139.888671875,64.0,8056,-0.3903911787870832,12.613496932515334,42,7.682212795974
2023-03-28,27268.130859375,59.0,8152,-0.5050900548159749,12.263122017723244,42,5.432306883342
2023-03-29,28348.44140625,57.0,8703,-0.5492256637168141,12.613496932515334,42,4.723538665015
2023-03-30,28033.5625,60.0,9144,-0.3608815426997245,12.438309475119288,42,4.090892556
2023-03-31,28478.484375,63.0,8963,-0.5492165528324628,11.912747102931148,42,3.09894161875
2023-04-01,28411.03515625,61.0,7587,-0.1761565836298932,11.912747102931148,42,2.181802148488
2023-04-02,28199.30859375,63.0,6700,-0.4919210053859964,11.912747102931148,42,2.069705056688
2023-04-03,27790.220703125,63.0,8014,-0.4002181025081788,15.102280668318404,42,2.599569022948
2023-04-04,28168.08984375,62.0,8226,-0.3380726698262243,14.694110920526011,42,1.852980403052
2023-04-05,28177.984375,62.0,7525,-0.426093241778099,14.49002604662982,42,2.227938821268
2023-04-06,28044.140625,63.0,8173,-0.5188916876574308,14.285941172733624,42,2.043074627003
2023-04-07,27925.859375,64.0,7995,-0.4558823529411764,14.285941172733624,42,1.63737672418
2023-04-08,27947.794921875,61.0,7511,-0.5146985550572994,12.449177307667874,42,1.195587503073
2023-04-09,28333.05078125,61.0,7162,-0.4340499709471238,12.041007559875483,42,0.735197270927
2023-04-10,29652.98046875,62.0,8603,-0.537406076445606,10.897526501766784,43,1.939212624165
2023-04-11,30235.05859375,68.0,9764,-0.5979240644632614,15.135453474676089,42,2.874489623141
2023-04-12,30139.052734375,65.0,8854,-0.5007645259938838,13.167844522968194,43,1.725003894477
2023-04-13,30399.06640625,61.0,8122,-0.5013613380007779,12.108362779740869,42,1.174245937202
2023-04-14,30485.69921875,68.0,7642,-0.5665338645418326,12.865135453474675,42,1.686088406488
2023-04-15,30318.49609375,68.0,6881,-0.3668214436471085,11.200235571260306,42,0.733431633661
2023-04-16,30315.35546875,68.0,7068,-0.4502092050209205,10.29210836277974,42,0.327127578081
2023-04-17,29445.044921875,69.0,7445,-0.4630981346309814,11.68181818181818,42,1.125898967602
2023-04-18,30397.552734375,58.0,7195,-0.4356975837879969,12.161892901618929,42,1.333970724804
2023-04-19,28822.6796875,63.0,7556,-0.5728676964405641,13.12204234122042,42,0.949171203465
2023-04-20,28245.98828125,52.0,7807,-0.5522886735716672,12.001867995018678,42,0.453352096917
